Unnamed: 0,code,name,description,material,size,fragm,cultlayer,execorg,survyear,row_id,image_file,image_abs,image_exists,artifact_id,group_key,name_raw,name_norm,material_raw,material_norm,fragm_raw,fragm_norm,raw_label,norm_label,label_is_missing,label_is_uncertain,group_has_conflict,is_very_rare,quality_flag,split,layout_mode,foreground_ratio,bg_type,has_scale_bar,has_overlay_text,material_group,group_size,label_proxy
1289,БП12-Г01-0956,Миска,Миски красноглиняной профиль,Красноглиняная керамика,"Д15-13; высота 2,3 см",Фрагмент,Горизонт 1/ темный гумусированный суглинок с кирпичной крошкой,,,157,dataset/БП12-Г01-0956_orig.jpg,cu_data/dataset/БП12-Г01-0956_orig.jpg,True,БП12-Г01-0956,БП12-Г01-0956,Миска,миска,Красноглиняная керамика,керамика,Фрагмент,фрагмент,Миска,миска,False,False,False,False,ok,pool_candidate,multi-view,0.31109,white,False,False,керамика,1,миска
1502,БП12-Г01-3461,Крышка,Сосуда красноглиняного крышки с коричневой поливой внутри и снаружи края фр-т,Красноглиняная керамика,,Фрагмент,Горизонт 1/ Темный гумусированный суглинок с кирпичной крошкой,,,177,dataset/БП12-Г01-3461_orig.jpg,cu_data/dataset/БП12-Г01-3461_orig.jpg,True,БП12-Г01-3461,БП12-Г01-3461,Крышка,крышка,Красноглиняная керамика,керамика,Фрагмент,фрагмент,Крышка,крышка,False,False,False,False,ok,pool_candidate,multi-view,0.207238,white,True,True,керамика,1,крышка
1520,БП12-Г01-3577,Тарелка,Тарелки фаянсовой с клеймом донца фр-т,Фаянс,,Фрагмент,Горизонт 1/ темная гумусированная супесь со щепой и кирпичом,,,180,dataset/БП12-Г01-3577_orig.jpg,cu_data/dataset/БП12-Г01-3577_orig.jpg,True,БП12-Г01-3577,БП12-Г01-3577,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,multi-view,0.307181,white,False,True,фарфор_фаянс,1,тарелка
1622,БП12-Г01-5844,Тарелка,Тарелки фаянсовой с клеймом и инициалами донца фр-т,Фаянс,Д9 см,Фрагмент,Горизонт 1/ темная гумусированная супесь с включением строительного мусора,,,186,dataset/БП12-Г01-5844_orig.jpg,cu_data/dataset/БП12-Г01-5844_orig.jpg,True,БП12-Г01-5844,БП12-Г01-5844,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,multi-view,0.389415,white,False,False,фарфор_фаянс,1,тарелка
1687,БП12-Г01-6524,Блюдце,Блюдца фаянсового профиль,Фаянс,"Д14-7,5 см",Фрагмент,Горизонт 1/ гумусированный суглинок с кирпичной крошкой,,,196,dataset/БП12-Г01-6524_orig.jpg,cu_data/dataset/БП12-Г01-6524_orig.jpg,True,БП12-Г01-6524,БП12-Г01-6524,Блюдце,блюдце,Фаянс,фаянс,Фрагмент,фрагмент,Блюдце,блюдце,False,False,False,False,ok,pool_candidate,multi-view,0.415641,white,False,False,фарфор_фаянс,1,блюдце
1763,БП12-Г01-7271,Миска,Миски деревянной профиль,Дерево,Д40 см,Фрагмент,Горизонт 1/ гумусированный суглинок с кирпичной крошкой,,,212,dataset/БП12-Г01-7271_orig.jpg,cu_data/dataset/БП12-Г01-7271_orig.jpg,True,БП12-Г01-7271,БП12-Г01-7271,Миска,миска,Дерево,дерево,Фрагмент,фрагмент,Миска,миска,False,False,False,False,ok,pool_candidate,multi-view,0.315377,white,False,False,органика_полимеры,1,миска
1792,БП12-Г01-8799,Изразец,Изразца красноглиняного плоского орнаментированного фр-т,Керамика,,Фрагмент,Горизонт 1/ гумусированный суглинок с кирпичной крошкой,,,219,dataset/БП12-Г01-8799_orig.jpg,cu_data/dataset/БП12-Г01-8799_orig.jpg,True,БП12-Г01-8799,БП12-Г01-8799,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,False,False,False,ok,pool_candidate,multi-view,0.429557,white,False,True,керамика,1,изразец
1846,БП12-Г02-1735,Миска,Миски красноглиняной профиль,Красноглиняная керамика,Д15-13; высота 2  см,Фрагмент,Горизонт 2/ темная гумусированная супесь,,,223,dataset/БП12-Г02-1735_orig.jpg,cu_data/dataset/БП12-Г02-1735_orig.jpg,True,БП12-Г02-1735,БП12-Г02-1735,Миска,миска,Красноглиняная керамика,керамика,Фрагмент,фрагмент,Миска,миска,False,False,False,False,ok,pool_candidate,multi-view,0.300789,white,False,False,керамика,1,миска
1881,БП12-Г02-2581,Тарелка,Тарелки красноглиняной с коричневой поливой внутри и белой по слою белого ангоба снаружи и росписью зеленой поливой края фр-т,Красноглиняная керамика,Д32 см,Фрагмент,Горизонт 2/ темная гумусированная супесь,,,224,dataset/БП12-Г02-2581_orig.jpg,cu_data/dataset/БП12-Г02-2581_orig.jpg,True,БП12-Г02-2581,БП12-Г02-2581,Тарелка,тарелка,Красноглиняная керамика,керамика,Фрагмент,фрагмент,Тарелка,тарелка,False,False,False,False,ok,pool_candidate,multi-view,0.281626,white,False,False,керамика,1,тарелка
1889,БП12-Г02-2655,Плитка,Плитки светлоглиняной с белой поливой и с кобальтовой росписью фр-т,Керамика,"5,5х4,5х0,8 см",Фрагмент,Горизонт 2/ Темная гумусированная супесь,,,225,dataset/БП12-Г02-2655_orig.jpg,cu_data/dataset/БП12-Г02-2655_orig.jpg,True,БП12-Г02-2655,БП12-Г02-2655,Плитка,плитка,Керамика,керамика,Фрагмент,фрагмент,Плитка,плитка,False,False,False,False,ok,pool_candidate,single-fragment,0.296366,white,True,True,керамика,1,плитка
