label,precision,recall,f1_score,support,predicted_count,tp,fp,fn,row_type
блюдце,0.5675675675675675,0.6176470588235294,0.5915492957746479,34,37,21,16,13,class
игрушка,0.5,1.0,0.6666666666666666,1,2,1,1,0,class
изразец,0.9302325581395349,0.8888888888888888,0.9090909090909091,45,43,40,3,5,class
крышка,0.8,0.5517241379310345,0.6530612244897959,29,20,16,4,13,class
миска,0.6,0.75,0.6666666666666666,12,15,9,6,3,class
плитка,0.5,0.5,0.5,4,4,2,2,2,class
тарелка,0.7195121951219512,0.7564102564102564,0.7375,78,82,59,23,19,class
macro_avg,0.6596160458327219,0.7235243345791014,0.6749335375269551,203,203,148,55,55,summary
weighted_avg,0.739801544990584,0.729064039408867,0.7298138381394073,203,203,148,55,55,summary
accuracy,0.729064039408867,0.729064039408867,0.729064039408867,203,203,148,55,55,summary
