Unnamed: 0,code,name,description,material,size,fragm,cultlayer,execorg,survyear,row_id,image_file,image_abs,image_exists,artifact_id,group_key,name_raw,name_norm,material_raw,material_norm,fragm_raw,fragm_norm,raw_label,norm_label,label_is_missing,label_is_uncertain,group_has_conflict,is_very_rare,quality_flag,split
503,БП11-Р01-Г01-0944,Тарелка,Тарелки фаянсовой с кобальтовой росписью края фр-т,Фаянс,Д24 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,60,dataset/БП11-Р01-Г01-0944_orig.jpg,cu_data/dataset/БП11-Р01-Г01-0944_orig.jpg,True,БП11-Р01-Г01-0944,БП11-Р01-Г01,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,True,False,group_conflict,train_seed
632,БП11-Р01-Г01-1055,Изразец,Изразец (карниз) красноглиняный с белой поливой фрагментированный,Керамика,"17х11,5+х6 см",Целый,Горизонт 1,,,64,dataset/БП11-Р01-Г01-1055_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1055_orig.jpg,True,БП11-Р01-Г01-1055,БП11-Р01-Г01,Изразец,изразец,Керамика,керамика,Целый,целый,Изразец,изразец,False,False,True,False,group_conflict,train_seed
475,БП11-Р01-Г01-1065,Тарелка,Тарелки фаянсовой донца фр-т,Фаянс,Д17 см,Фрагмент,Горизонт 1,,,57,dataset/БП11-Р01-Г01-1065_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1065_orig.jpg,True,БП11-Р01-Г01-1065,БП11-Р01-Г01,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,True,False,group_conflict,train_seed
456,БП11-Р01-Г01-1137,Крышка,Сосуда красноглиняного с коричневой поливой снаружи крышки фр-т,Керамика,Д20 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,55,dataset/БП11-Р01-Г01-1137_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1137_orig.jpg,True,БП11-Р01-Г01-1137,БП11-Р01-Г01,Крышка,крышка,Керамика,керамика,Фрагмент,фрагмент,Крышка,крышка,False,False,True,False,group_conflict,train_seed
742,БП11-Р01-Г01-1192,Изразец,Изразца углового красноглиняного с белой поливой фр-т,Керамика,,Фрагмент,Горизонт 1/ серо-желтая мешаная супесь,,,69,dataset/БП11-Р01-Г01-1192_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1192_orig.jpg,True,БП11-Р01-Г01-1192,БП11-Р01-Г01,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,False,True,False,group_conflict,train_seed
758,БП11-Р01-Г01-1197,Крышка,Крышка белого металла на бутылку с изображением герба фрагментированная,Белый металл,"Д3, толщина 0,1 см",Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок с кирпичной крошкой,,,70,dataset/БП11-Р01-Г01-1197_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1197_orig.jpg,True,БП11-Р01-Г01-1197,БП11-Р01-Г01,Крышка,крышка,Белый металл,металл,Фрагмент,фрагмент,Крышка,крышка,False,False,True,False,group_conflict,train_seed
387,БП11-Р01-Г01-1247,Тарелка,Тарелки фаянсовой край,Фаянс,Д23 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,49,dataset/БП11-Р01-Г01-1247_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1247_orig.jpg,True,БП11-Р01-Г01-1247,БП11-Р01-Г01,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,True,False,group_conflict,train_seed
800,БП11-Р01-Г01-1248,Тарелка,Тарелки фаянсовой с клеймом донце,Фаянс,Д11 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,72,dataset/БП11-Р01-Г01-1248_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1248_orig.jpg,True,БП11-Р01-Г01-1248,БП11-Р01-Г01,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,True,False,group_conflict,train_seed
499,БП11-Р01-Г01-1251,Тарелка,Тарелки фаянсовой с голубой поливой и полихромной росписью донца фр-т,Фаянс,Д8 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,58,dataset/БП11-Р01-Г01-1251_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1251_orig.jpg,True,БП11-Р01-Г01-1251,БП11-Р01-Г01,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,True,False,group_conflict,train_seed
841,БП11-Р01-Г01-1289,Тарелка,Тарелки фаянсовой с красной росписью профиль,Фаянс,Д15-12 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,74,dataset/БП11-Р01-Г01-1289_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1289_orig.jpg,True,БП11-Р01-Г01-1289,БП11-Р01-Г01,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,True,False,group_conflict,train_seed
426,БП11-Р01-Г01-1290,Тарелка,Тарелки фаянсовой профиль,Фаянс,Д26 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,51,dataset/БП11-Р01-Г01-1290_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1290_orig.jpg,True,БП11-Р01-Г01-1290,БП11-Р01-Г01,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,True,False,group_conflict,train_seed
621,БП11-Р01-Г01-1315,Тарелка,Тарелки фаянсовой профиль,Фаянс,Д24-15 см,Фрагмент,Горизонт 2/ голубая мешанная глина,,,63,dataset/БП11-Р01-Г01-1315_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1315_orig.jpg,True,БП11-Р01-Г01-1315,БП11-Р01-Г01,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,True,False,group_conflict,train_seed
433,БП11-Р01-Г01-1395,Тарелка,Тарелки фаянсовой с клеймом профиль,Фаянс,Д25-14 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,52,dataset/БП11-Р01-Г01-1395_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1395_orig.jpg,True,БП11-Р01-Г01-1395,БП11-Р01-Г01,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,True,False,group_conflict,train_seed
776,БП11-Р01-Г01-1396,Тарелка,Тарелки фаянсовой края фр-т,Фаянс,Д25 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,71,dataset/БП11-Р01-Г01-1396_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1396_orig.jpg,True,БП11-Р01-Г01-1396,БП11-Р01-Г01,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,True,False,group_conflict,train_seed
649,БП11-Р01-Г01-1397,Тарелка,Тарелки фаянсовой края фр-т,Фаянс,Д33 см,Фрагмент,Горизонт 1/ темно-коричневый гумусированный суглинок,,,65,dataset/БП11-Р01-Г01-1397_orig.jpg,cu_data/dataset/БП11-Р01-Г01-1397_orig.jpg,True,БП11-Р01-Г01-1397,БП11-Р01-Г01,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,False,True,False,group_conflict,train_seed
